runid,pa_i,seed,method,vif,mrmr,boruta,dredge,parsimony
1,pa_i1,1,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
2,pa_i1,1,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
3,pa_i1,1,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
4,pa_i1,1,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
5,pa_i1,1,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
6,pa_i1,1,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
7,pa_i1,1,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
8,pa_i1,1,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
9,pa_i1,1,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
10,pa_i1,1,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
11,pa_i1,1,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
12,pa_i1,1,RF,TRUE,FALSE,FALSE,FALSE,FALSE
13,pa_i1,1,RF,FALSE,TRUE,FALSE,FALSE,FALSE
14,pa_i1,1,RF,FALSE,FALSE,TRUE,FALSE,FALSE
15,pa_i1,2,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
16,pa_i1,2,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
17,pa_i1,2,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
18,pa_i1,2,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
19,pa_i1,2,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
20,pa_i1,2,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
21,pa_i1,2,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
22,pa_i1,2,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
23,pa_i1,2,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
24,pa_i1,2,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
25,pa_i1,2,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
26,pa_i1,2,RF,TRUE,FALSE,FALSE,FALSE,FALSE
27,pa_i1,2,RF,FALSE,TRUE,FALSE,FALSE,FALSE
28,pa_i1,2,RF,FALSE,FALSE,TRUE,FALSE,FALSE
29,pa_i1,3,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
30,pa_i1,3,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
31,pa_i1,3,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
32,pa_i1,3,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
33,pa_i1,3,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
34,pa_i1,3,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
35,pa_i1,3,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
36,pa_i1,3,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
37,pa_i1,3,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
38,pa_i1,3,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
39,pa_i1,3,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
40,pa_i1,3,RF,TRUE,FALSE,FALSE,FALSE,FALSE
41,pa_i1,3,RF,FALSE,TRUE,FALSE,FALSE,FALSE
42,pa_i1,3,RF,FALSE,FALSE,TRUE,FALSE,FALSE
43,pa_i1,4,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
44,pa_i1,4,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
45,pa_i1,4,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
46,pa_i1,4,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
47,pa_i1,4,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
48,pa_i1,4,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
49,pa_i1,4,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
50,pa_i1,4,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
51,pa_i1,4,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
52,pa_i1,4,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
53,pa_i1,4,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
54,pa_i1,4,RF,TRUE,FALSE,FALSE,FALSE,FALSE
55,pa_i1,4,RF,FALSE,TRUE,FALSE,FALSE,FALSE
56,pa_i1,4,RF,FALSE,FALSE,TRUE,FALSE,FALSE
57,pa_i1,5,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
58,pa_i1,5,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
59,pa_i1,5,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
60,pa_i1,5,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
61,pa_i1,5,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
62,pa_i1,5,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
63,pa_i1,5,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
64,pa_i1,5,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
65,pa_i1,5,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
66,pa_i1,5,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
67,pa_i1,5,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
68,pa_i1,5,RF,TRUE,FALSE,FALSE,FALSE,FALSE
69,pa_i1,5,RF,FALSE,TRUE,FALSE,FALSE,FALSE
70,pa_i1,5,RF,FALSE,FALSE,TRUE,FALSE,FALSE
71,pa_i1,6,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
72,pa_i1,6,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
73,pa_i1,6,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
74,pa_i1,6,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
75,pa_i1,6,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
76,pa_i1,6,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
77,pa_i1,6,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
78,pa_i1,6,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
79,pa_i1,6,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
80,pa_i1,6,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
81,pa_i1,6,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
82,pa_i1,6,RF,TRUE,FALSE,FALSE,FALSE,FALSE
83,pa_i1,6,RF,FALSE,TRUE,FALSE,FALSE,FALSE
84,pa_i1,6,RF,FALSE,FALSE,TRUE,FALSE,FALSE
85,pa_i1,7,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
